title,location,year,odometer,price,link
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"35,155km","$43,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4687599227?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"9,000km","$59,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4686253894?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"23,828km","$46,950",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4686208500?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"42,575km","$43,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4685090348?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2023 Toyota RAV4,"Christchurch City, Canterbury",2023,"2,975km",,https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4683885302?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"54,452km","$45,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4683286258?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"42,337km","$45,490",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4678293898?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"31,764km","$53,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4676949827?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"35,497km","$38,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4675813419?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"35,199km","$39,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4675369563?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2019 Toyota RAV4,"Christchurch, Canterbury",2019,"53,000km","$34,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4675080834?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2019 Toyota RAV4,"Auckland, Auckland  ",2019,"66,500km","$34,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4673580726?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2021 Toyota RAV4,"Auckland, Auckland  ",2021,"60,900km","$36,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4673388457?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2019 Toyota RAV4,"Porirua, Wellington ",2019,"45,527km",,https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4671981162?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"22,521km","$40,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4669423777?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2020 Toyota RAV4,"Manukau City, Auckland",2020,"64,000km","$37,800",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4669133424?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2019 Toyota RAV4,NA                  ,2019,"53,219km","$41,995",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4667390839?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"34,350km","$47,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4665640594?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"50,799km","$32,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4662496790?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2023 Toyota RAV4,NA                  ,2023,"17,000km","$58,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4654600347?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2019 Toyota RAV4,"Auckland, Auckland  ",2019,"57,650km","$43,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4652704713?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2019 Toyota RAV4,"North Shore, Auckland",2019,"52,000km","$39,000",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4741615353?rsqid=816ef0f0f48941d6aad2746dadba75f7-001
2022 Toyota RAV4,NA                  ,2022,"51,000km","$32,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4633705466?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2021 Toyota RAV4,"Auckland, Auckland  ",2021,"38,000km","$48,500",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4625567029?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
