title,location,year,odometer,price,link
2018 Honda CR-V,"Drury, Auckland     ",2018,"42,600km 1498cc, Petrol, Automatic","$31,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4669094614?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2021 Honda CR-V,"East Auckland, Auckland",2021,"49,387km 1498cc, Petrol, Automatic","$37,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4667912879?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2019 Honda CR-V,NA                  ,2019,"54,846km 1498cc, Petrol, Automatic","$35,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4665791842?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2022 Honda CR-V,"Wellington, Wellington",2022,"25,100km 1496cc, Petrol, Automatic","$37,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4663762683?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2020 Honda CR-V,NA                  ,2020,"42,131km 1498cc, Petrol, Automatic","$38,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4654122225?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2019 Honda CR-V,NA                  ,2019,"41,000km 1498cc, Petrol","$31,490",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4646431558?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2019 Honda CR-V,"Auckland, Auckland  ",2019,"62,000km 2000cc, Hybrid, Automatic","$33,974",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4629761321?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2018 Honda CR-V,"Drury, Auckland     ",2018,"70,532km 1498cc, Petrol, Automatic","$29,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4625262450?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2019 Honda CR-V,NA                  ,2019,"34,998km 1498cc, Petrol, Automatic","$31,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4631499836?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2018 Honda CR-V,NA                  ,2018,"67,810km 1498cc, Petrol, Automatic","$29,000",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4766012321?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2021 Honda CR-V,NA                  ,2021,"33,500km 1498cc, Petrol, Automatic","$36,000",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4765626667?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2021 Honda CR-V,NA                  ,2021,"33,450km 1498cc, Petrol, Automatic","$34,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4701439770?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2021 Honda CR-V,NA                  ,2021,"61,500km 1498cc, Petrol, Automatic","$39,500",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4544425287?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2020 Honda CR-V,"Auckland, Auckland  ",2020,"45,000km 2000cc, Hybrid, Automatic","$36,995",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4230887367?rsqid=63a1965ea071426ea6640ec97c989399-001
2023 Honda CR-V,"Auckland City, Auckland",2023,"5,000km 1496cc, Petrol, Automatic",,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4774792050?rsqid=63a1965ea071426ea6640ec97c989399-001
2019 Honda CR-V,"Christchurch, Canterbury",2019,"38,900km 1498cc, Petrol, Automatic","$32,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4763136697?rsqid=63a1965ea071426ea6640ec97c989399-001
2019 Honda CR-V,NA                  ,2019,"38,900km 2000cc, Hybrid, Automatic","$34,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4751254249?rsqid=63a1965ea071426ea6640ec97c989399-001
2021 Honda CR-V,NA                  ,2021,"16,340km 1498cc, Petrol, Automatic",,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4729504632?rsqid=63a1965ea071426ea6640ec97c989399-001
